Date,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
7/1/93,,,,,
8/1/93,,,,,
9/1/93,,,,,
10/1/93,,,,,
11/1/93,,,,,
12/1/93,,,,,
1/1/94,,,,,
2/1/94,,,,,
3/1/94,,,,,
4/1/94,,,,,
5/1/94,,,,,
6/1/94,,,,,
7/1/94,,,,,
8/1/94,,,,,
9/1/94,,,,,
10/1/94,,,,,
11/1/94,,,,,
12/1/94,,,,,
1/1/95,,,,,
2/1/95,,,,,
3/1/95,,,,,
4/1/95,,,,,
5/1/95,,,,,
6/1/95,,,,,
7/1/95,,,,,
8/1/95,,,,,
9/1/95,,,,,
10/1/95,,,,,
11/1/95,,,,,
12/1/95,,,,,
1/1/96,,,,,
2/1/96,,,,,
3/1/96,,,,,
4/1/96,,,,,
5/1/96,,,,,
6/1/96,,,,,
7/1/96,,,,,
8/1/96,,,,,
9/1/96,,,,,
10/1/96,,,,,
11/1/96,,,,,
12/1/96,,,,,
1/1/97,,,,,
2/1/97,,,,,
3/1/97,,,,,
4/1/97,,,,,
5/1/97,,,,,
6/1/97,,,,,
7/1/97,,,,,
8/1/97,,,,,
9/1/97,,,,,
10/1/97,,,,,
11/1/97,,,,,
12/1/97,,,,,
1/1/98,,,,,
2/1/98,,,,,
3/1/98,,,,,
4/1/98,,,,,
5/1/98,,,,,
6/1/98,,,,,
7/1/98,,,,,1
8/1/98,,,,,
9/1/98,,,,,
10/1/98,,,,,
11/1/98,,,,,
12/1/98,,,,,
1/1/99,,,,,
2/1/99,,,,,
3/1/99,,,,,
4/1/99,,,,,
5/1/99,,,,,
6/1/99,,,,,
7/1/99,,,,,
8/1/99,,,,,
9/1/99,,,,,
10/1/99,,,,,
11/1/99,,,,,
12/1/99,,,,,
1/1/00,,,,,1
2/1/00,,,,,
3/1/00,,,,,
4/1/00,,,,,
5/1/00,,,,,
6/1/00,,,,,
7/1/00,,,,,
8/1/00,,,,,
9/1/00,,,,,
10/1/00,,,,,
11/1/00,,,,,
12/1/00,,,,,
1/1/01,,,,,
2/1/01,,,,,1
3/1/01,,,,,
4/1/01,,,,,
5/1/01,,,,,
6/1/01,,,,,
7/1/01,,,,,
8/1/01,,,,,
9/1/01,,,,,
10/1/01,,,,,
11/1/01,,,,,
12/1/01,,,,,
2/1/02,,,,,
3/1/02,,,,,
4/1/02,,,,,
5/1/02,,,,,
6/1/02,,,,,
7/1/02,,,,,
8/1/02,,,,,
9/1/02,,,,,1
10/1/02,,,,,
11/1/02,,,,,
12/1/02,,,,,
2/1/03,,,,,
3/1/03,,,,,
4/1/03,,,,,
5/1/03,,,,,
6/1/03,,,,,
7/1/03,,,,,
8/1/03,,,,,
9/1/03,,,,,
10/1/03,,,,,
11/1/03,,,,,
12/1/03,,,,,
1/1/04,,,,,
2/1/04,,,,,
3/1/04,,,,,
4/1/04,,,,,
5/1/04,,,,,
6/1/04,,,,,
7/1/04,,,,,
8/1/04,,,,,
9/1/04,,,,,
10/1/04,,,,,
11/1/04,,,,,
12/1/04,,,,,
1/1/05,,,,,
2/1/05,,,,,
3/1/05,,,,,
4/1/05,,,,,
5/1/05,,,,,
6/1/05,,,,,
7/1/05,,,,,1
8/1/05,,,,,
9/1/05,,,,,
10/1/05,,,,,
11/1/05,,,,,
12/1/05,,,,,
1/1/06,,,,,
2/1/06,,,,,
3/1/06,,,,,
4/1/06,,,,,
5/1/06,,,,,
6/1/06,,,,,
7/1/06,,,,,
8/1/06,,,,,
9/1/06,,,,,
10/1/06,,,,,
11/1/06,,,,,
12/1/06,,,,,
1/1/07,,,,,
2/1/07,,,,,
3/1/07,,,,,
4/1/07,,,,,
5/1/07,,,,,
6/1/07,,,,,
7/1/07,,,,,1
8/1/07,,,,,
9/1/07,,,,,
10/1/07,,,,,
11/1/07,,,,,
12/1/07,,,,,
1/1/08,,,,,
2/1/08,,,,,
3/1/08,,,,,
4/1/08,,,,,
5/1/08,,,,,
6/1/08,,,,,
7/1/08,,,,,
8/1/08,,,,,
9/1/08,,,,,
10/1/08,,,,,
11/1/08,,,,,1
12/1/08,,,,,
1/1/09,,,,,
2/1/09,,,,,
3/1/09,,,,,
4/1/09,,,,,
5/1/09,,,,,
6/1/09,,,,,
7/1/09,,,,,
8/1/09,,,,,
9/1/09,,,,,
10/1/09,,,,,
11/1/09,,,,,1
12/1/09,,,,,
1/1/10,,,,,
2/1/10,,,,,
3/1/10,,,,,
4/1/10,,,,,
5/1/10,,,,,
6/1/10,,,,,
7/1/10,,,,,1
8/1/10,,,,,
9/1/10,,,,,
10/1/10,,,,,
11/1/10,,,,,
12/1/10,,,,,
1/1/11,,,,,
2/1/11,,,,,
3/1/11,,,,,
4/1/11,,,,,
5/1/11,,,,,
6/1/11,,,,,
7/1/11,,,,,
8/1/11,,,,,
9/1/11,,,,,
10/1/11,,,,,
11/1/11,,,,,
12/1/11,,,,,
1/1/12,,,,,
2/1/12,,,,,
3/1/12,,,,,
4/1/12,,,,,
5/1/12,,,,,
6/1/12,,,,,
7/1/12,,,,,
8/1/12,,,,,
9/1/12,,,,,
10/1/12,,,,,
11/1/12,,,,,
12/1/12,,,,,
1/1/13,,,,,
2/1/13,,,,,
3/1/13,,,,,
4/1/13,,,,,
5/1/13,,,,,
6/1/13,,,,,
7/1/13,,,,,
8/1/13,,,,,
9/1/13,,,,,
10/1/13,,,,,
11/1/13,,,,,
12/1/13,,,,,
1/1/14,,,,,
2/1/14,,,,,
3/1/14,,,,,
4/1/14,,,,,
5/1/14,,,,,
6/1/14,,,,,
7/1/14,,,,,
8/1/14,,,,,
9/1/14,,,,,
10/1/14,,,,,
11/1/14,,,,,
12/1/14,,,,,
1/1/15,,,,,
2/1/15,,,,,
3/1/15,,,,,
4/1/15,,,,,
5/1/15,,,,,
6/1/15,,,,,
7/1/15,,,,,
8/1/15,,,,,
9/1/15,,,,,
10/1/15,,,,,
11/1/15,,,,,
12/1/15,,,,,
1/1/16,,,,,
2/1/16,,,,,
3/1/16,,,,,
4/1/16,,,,,
5/1/16,,,,,
6/1/16,,,,,
7/1/16,,,,,1
8/1/16,,,,,
9/1/16,,,,,
10/1/16,,,,,
11/1/16,,,,,
12/1/16,,,,,
1/1/17,,,,,
2/1/17,,,,,
3/1/17,,,,,
4/1/17,,,,,
5/1/17,,,,,
6/1/17,,,,,
7/1/17,,,,,
8/1/17,,,,,
9/1/17,,,,,
10/1/17,,,,,
11/1/17,,,,,
12/1/17,,,,,
1/1/18,,1,,,
2/1/18,,1,,,
3/1/18,,1,,,
4/1/18,,1,,,
5/1/18,,1,,,
6/1/18,,1,,,
7/1/18,,1,,,
8/1/18,,1,,,
9/1/18,,1,,,
10/1/18,,1,,,
11/1/18,,1,,,
12/1/18,,1,,,
1/1/19,,1,,,
2/1/19,,1,,,
3/1/19,,1,,,
4/1/19,,1,,,
5/1/19,,1,,,
6/1/19,,1,,,
7/1/19,,1,,,
8/1/19,,1,,,
9/1/19,,1,,,
10/1/19,,1,,,
11/1/19,,1,,,
12/1/19,,1,,,
1/1/20,,1,,,
2/1/20,,1,,,
3/1/20,1,1,,,
4/1/20,1,1,,,
5/1/20,1,1,,,
6/1/20,1,1,,,
7/1/20,1,1,,,
8/1/20,1,1,,,
9/1/20,1,1,,,
10/1/20,1,1,,,
11/1/20,1,1,,,
12/1/20,1,1,,,
1/1/21,1,1,1,,
2/1/21,1,1,1,,
3/1/21,1,1,1,1,
4/1/21,1,1,1,1,
5/1/21,1,1,1,1,
6/1/21,1,1,1,1,
7/1/21,1,1,1,1,
8/1/21,1,1,1,1,
9/1/21,1,1,1,1,
10/1/21,1,1,1,1,
11/1/21,1,1,1,1,
12/1/21,1,1,1,1,
1/1/22,1,1,1,1,
2/1/22,1,1,1,1,
3/1/22,1,1,1,1,
4/1/22,1,1,1,1,
5/1/22,1,1,1,1,
6/1/22,1,1,1,1,
7/1/22,,1,1,1,1
8/1/22,,1,1,1,
9/1/22,,1,1,1,
10/1/22,,1,1,1,
11/1/22,,1,1,1,
12/1/22,,1,1,1,
1/1/23,,1,1,1,
2/1/23,,1,1,1,
3/1/23,,1,1,1,
4/1/23,,1,1,1,
5/1/23,,1,1,1,
6/1/23,,1,1,1,
7/1/23,,1,1,1,
8/1/23,,1,1,1,
9/1/23,,1,1,1,
10/1/23,,1,1,1,
11/1/23,,1,1,1,
12/1/23,,1,1,1,
1/1/24,,1,1,1,
2/1/24,,1,1,1,
3/1/24,,1,1,1,
4/1/24,,1,1,1,
5/1/24,,1,1,1,
6/1/24,,1,1,1,
7/1/24,,1,1,1,
8/1/24,,1,1,1,
9/1/24,,1,1,1,
10/1/24,,1,1,1,
11/1/24,,1,1,1,
12/1/24,,1,1,1,
1/1/25,,1,1,1,
2/1/25,,1,1,1,
3/1/25,,1,1,1,
4/1/25,,1,1,1,
5/1/25,,1,1,1,
6/1/25,,1,1,1,
7/1/25,,1,1,1,
8/1/25,,1,1,1,
9/1/25,,1,1,1,
10/1/25,,1,1,1,
11/1/25,,1,1,1,1
12/1/25,,1,1,1,
1/1/26,,1,1,1,
2/1/26,,1,1,1,
3/1/26,,1,1,1,
4/1/26,,1,1,1,
5/1/26,,1,1,1,
6/1/26,,1,1,1,
7/1/26,,1,1,1,
8/1/26,,1,1,1,
9/1/26,,1,1,1,
10/1/26,,1,1,1,
11/1/26,,1,1,1,
12/1/26,,1,1,1,
1/1/27,,1,1,1,
2/1/27,,1,1,1,
3/1/27,,1,1,1,
,,,,,
